Subject,Start Date,End Date,Start Time,End Time,Description,Location
鉅星燈飾 vs 品豐,08/16/2020,08/16/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
品豐 vs 魔人普烏,08/16/2020,08/16/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
品豐 vs 悍馬,09/06/2020,09/06/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
國真車業 vs 品豐,09/06/2020,09/06/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
品豐 vs 大日停車場,09/20/2020,09/20/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
急先鋒 vs 品豐,09/20/2020,09/20/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
COMEBUY vs 品豐,09/27/2020,09/27/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
品豐 vs 牛羊客,09/27/2020,09/27/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
品豐 vs 廣杰矽膠,10/25/2020,10/25/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
利可富 vs 品豐,10/25/2020,10/25/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
